,,,,,Top Inv$ Amount 100 Plants,,,,,Run Date: 07/24/2015,,,,,,,,
,,,,,From: 01/01/2015 To: 07/24/2015,,,,,,,,,,,,,
,,,,,Liners Not Included,,,,,,,,,,,,,
,,,,,"Location: 160000,170000,450000,550000",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rnk#,Item#,Item Description,Size,Key Code,Status,Product,Sub Category,Zone,Invoice$,Avg Dsc,Quantity,OR,VI,VH,GA,NC,CT,GR
1,013835,BUXUS MIC WINTER GEM,#5,5,,Evergreen Shrubs,Evergreen small shrub/hedge,5,"963,403.90 ",20.28 ,"52,550","11,723","14,817",0,"22,080",0,"3,930",0
2,056232,VACC BOUNTIFUL BLUE R PP19381,#2,2,NEW,Deciduous Shrubs,Edible berries/fruit,6,"565,573.52 ",22.19 ,"46,892","6,275","34,544",0,"6,073",0,0,0
3,071602,ROSA FLWR CAR R RED P11308,#2,2,,Roses,Rosa,4,"520,617.88 ",23.95 ,"44,167","5,678","33,721",0,"4,587",0,181,0
4,013832,BUXUS MIC WINTER GEM,#2,2,,Evergreen Shrubs,Evergreen small shrub/hedge,5,"475,135.67 ",17.91 ,"38,586","12,239","11,965",0,"14,382",0,0,0
5,092755,HYD BLUE ENCHANTRESS R PP25209,#5,5,NEW,Deciduous Shrubs,Hydrangea,5,"465,444.02 ",28.89 ,"27,272","2,044","12,483",0,"12,443",0,302,0
6,036312,ROSA FLWR CAR R SCARLET P17373,#2,2,NEW,Roses,Rosa,5,"440,448.11 ",22.94 ,"36,874","2,953","26,043",0,"7,794",0,84,0
7,079382,RUBUS RSPBRY SHRTCKE TM P22141,#2,2,NEW,Deciduous Shrubs,Edible berries/fruit,5,"428,365.50 ",19.56 ,"32,275","8,097","23,354",0,647,0,177,0
8,070212,ROSA FLWR CAR R WHITE P9573,#2,2,,Roses,Rosa,5,"417,575.36 ",25.48 ,"36,151","3,380","32,771",0,0,0,0,0
9,013837,BUXUS MIC WINTER GEM,#7,7,,Evergreen Shrubs,Evergreen small shrub/hedge,5,"384,090.00 ",19.42 ,"11,915",13,0,0,"11,902",0,0,0
