Branch,Item,Description,Category,Zone,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,4,402,402,15,0,402,$28.50 ,,5/1/2015,
160000,056415,ACTINIDIA TETRA VAR MALOIDES,VIN,6,483,287,20,5,302,$19.95 ,SALE,5/1/2015,
160000,002591,AKEBIA QUINATA,VIN,5,143,133,19,25,133,$7.50 ,,5/1/2015,
160000,002595,AKEBIA QUINATA,VIN,5,145,0,25,8,17,$26.00 ,,5/1/2015,
160000,002561,AKEBIA QUINATA SHIRO BANA,VIN,5,"2,831",107,31,20,118,$7.50 ,,,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,5,57,0,24,26,0,$26.00 ,,5/1/2015,
160000,090661,CLEM ALP PAMELA JACKMAN,VIN,3,"1,057",0,26,20,6,$8.50 ,,,
160000,038571,CLEM ALP STOLWIJK GOLD PP18648,VIN,3,383,38,0,0,38,$10.00 ,,,
160000,027151,CLEM ARMANDII,VIN,7,"1,866",0,120,90,30,$8.50 ,,,
160000,027152,CLEM ARMANDII,VIN,7,777,0,10,10,0,$17.00 ,,5/1/2015,
160000,027155,CLEM ARMANDII,VIN,7,"1,042",0,177,89,88,$28.00 ,,3/1/2015,
160000,027285,CLEM LAN CANDIDA,VIN,4,143,0,15,10,5,$28.00 ,,5/1/2015,
160000,046252,CLEM LOUISE ROWE,VIN,4,110,8,20,19,9,$17.00 ,,5/1/2015,
160000,046255,CLEM LOUISE ROWE,VIN,4,19,19,0,0,19,$28.00 ,,,
160000,027431,CLEM MONTANA FREDA,VIN,6,"1,346",46,15,15,46,$8.50 ,,,
160000,027435,CLEM MONTANA FREDA,VIN,6,338,0,5,0,5,$28.00 ,,5/1/2015,
160000,027405,CLEM MONTANA RUBENS,VIN,6,504,0,19,10,9,$28.00 ,,,
160000,027472,CLEM PANICULATA,VIN,4,22,0,9,9,0,$17.00 ,,5/1/2015,
160000,027475,CLEM PANICULATA,VIN,4,156,0,5,5,0,$28.00 ,,5/1/2015,
160000,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,4,331,0,49,23,26,$17.50 ,,5/1/2015,
160000,021865,CLEM SAPPHIRE INDIGO TMPP17012,VIN,4,853,579,20,7,592,$19.60 ,SALE,5/1/2015,
160000,038002,CLEM TEX PRINCESS DIANA,VIN,5,224,0,17,0,17,$17.00 ,,5/1/2015,
