Branch,Item,Description,Category,Zone,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
160000,046342,PAEONIA COTTAGE MIX,PRN,4,161,158,0,0,158,$19.50 ,,,
160000,039095,PAEONIA ITOH CORA LOUISE (WHT),PRN,4,292,0,6,6,0,$42.50 ,,,
160000,047085,PAEONIA ITOH KEIKO TM (PK D D),PRN,4,"5,342",0,73,38,35,$42.50 ,,,
160000,052605,PAEONIA ITOH MISAKA TM PP22192,PRN,4,"3,546",0,69,25,44,$42.50 ,,,
160000,068585,PAEONIA ITOH MORNING LILAC,PRN,4,685,0,11,11,0,$42.50 ,,,
160000,019585,PAEONIA ITOH SING IN THE RAIN,PRN,4,576,0,14,14,0,$42.50 ,,,
160000,052595,PAEONIA ITOH TAKARA TM PP22374,PRN,4,"2,403",0,40,25,15,$42.50 ,,,
160000,047075,PAEONIA ITOH YUMI TM (YLW),PRN,4,"4,168",171,18,18,171,$42.50 ,,,
160000,024242,PAEONIA X BLAZE (RED),PRN,4,"1,155",0,54,44,10,$19.50 ,,,
160000,019522,PAEONIA X BOWL OF BEAUTY (PK),PRN,4,"5,918","2,129",30,22,"2,137",$19.50 ,,,
160000,016252,PAEONIA X BOWL OF CREAM (WT),PRN,4,"2,920",354,100,68,386,$19.50 ,,,
160000,050282,PAEONIA X BUCKEYE BELLE (RED),PRN,4,"4,413",625,50,16,659,$19.50 ,,,
160000,096432,PAEONIA X GENERAL MACMAHON,PRN,3,"1,463",3,25,0,28,$19.50 ,,,
160000,036332,PAEONIA X INSPECTEUR LAVERGNE,PRN,4,"3,508",841,50,10,881,$19.50 ,,,
160000,046132,PAEONIA X JAN VAN LEEUWEN (WT),PRN,4,"2,151",14,50,34,30,$19.50 ,,,
160000,063742,PAEONIA X KANSAS (RED),PRN,4,"14,137","8,654",140,35,"8,759",$19.50 ,,,
160000,046212,PAEONIA X LADY ORCHID (PINK),PRN,4,"8,621","4,504",60,53,"4,511",$19.50 ,,,
160000,064912,PAEONIA X MME EMILE DEBATENE,PRN,4,"4,405",427,14,24,427,$19.50 ,,,
160000,051192,PAEONIA X NANCY NORA (PINK),PRN,4,"4,942","2,760",40,14,"2,786",$19.50 ,,,
160000,024272,PAEONIA X PAUL M WILD (RED),PRN,4,"3,334",94,50,18,126,$19.50 ,,,
160000,046072,PAEONIA X RASPBERRY SUNDAE(PK),PRN,4,"2,501",0,50,31,19,$19.50 ,,,
160000,095682,PAEONIA X SCARLETT OHARA (PNK),PRN,4,"1,003",30,38,29,39,$19.50 ,,,
160000,046122,PAEONIA X SEA SHELL (PINK),PRN,4,"3,171","1,185",25,19,"1,191",$19.50 ,,,
160000,063762,PAEONIA X SHIRLEY TEMPLE (WT),PRN,4,"7,172","1,927",150,40,"2,037",$19.50 ,,,
