Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
550000,074731S,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,70,0,0,70,$9.50 ,,5/1/2014,
550000,074391S,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,400,0,9,0,9,$9.50 ,,,
170000,000105,ABELIA EDWARD GOUCHER,EVS,720,0,21,10,11,$18.75 ,,,
550000,028343,ABELIA GRA KALEIDOSCOPE P16988,EVS,"5,004",482,0,0,482,$20.00 ,,3/1/2014,
550000,025692,ABELIA GRA ROSE CREEK,EVS,213,0,7,0,7,$13.25 ,,3/1/2014,
550000,025693,ABELIA GRA ROSE CREEK,EVS,166,21,0,0,21,$16.50 ,,4/1/2014,
170000,000095,ABELIA PROSTRATA,EVS,583,113,0,0,113,$18.75 ,,,
160000,020695,ABELIOPHYLLUM DIS ROSEUM,DCS,370,1,6,0,7,$19.25 ,,,
160000,000082,ABIES BALSAMEA NANA,CON,604,129,8,10,129,$21.50 ,,,
160000,021565,ABIES HORSTMANN'S SILBERLOCKE,CON,110,10,0,0,10,$44.00 ,,5/15/2014,
160000,019341,ABIES LAS GLAUCA COMPACTA,CON,278,198,0,0,198,$10.75 ,,,
170000,000175ST,ABUTILON ALBUS,EVS,167,64,0,0,64,$24.50 ,,,
170000,000131ST,ABUTILON ROSEUS,EVS,770,308,0,16,308,$7.50 ,,,
170000,000135ST,ABUTILON ROSEUS,EVS,490,29,20,20,29,$24.50 ,,,
170000,000201ST,ABUTILON SUPER RED R,EVS,38,37,0,10,37,$7.50 ,,4/1/2014,
170000,049741ST,ABUTILON X HYB CASCADE DAWN,EVS,149,149,0,0,149,$7.75 ,,,
170000,036115,ACACIA STENOPHYLLA,TRE,196,11,0,0,11,$23.75 ,,,
550000,000402,ACANTHUS OAK LEAF,PRN,"1,998","1,988",25,0,"1,988",$15.50 ,,3/1/2014,
160000,02180M,ACER CIR PACIFIC FIRE,TRE,52,0,6,0,6,$109.00 ,,,
160000,000445,ACER GRISEUM,TRE,751,156,5,0,161,$33.00 ,,,
160000,000447,ACER GRISEUM,TRE,183,0,2,2,0,$70.00 ,,,
160000,00052M,ACER JAPONICUM ACONITIFOLIUM,TRE,111,0,2,0,2,$109.00 ,,,
160000,036235,ACER NEGUNDO KELLY'S GOLD,TRE,160,16,0,0,16,$27.00 ,,,
160000,030335,ACER SHIR AUTUMN MOON,TRE,292,0,15,0,15,$54.00 ,,,
160000,03033M,ACER SHIR AUTUMN MOON,TRE,114,0,2,0,2,$109.00 ,,,
160000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,741,658,0,0,658,$4.75 ,,6/1/2014,
170000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,383,383,0,0,383,$4.75 ,,4/1/2014,
160000,029061,ACHILLEA MILL RED VELVET,PRN,"1,640",794,0,0,794,$4.75 ,,6/1/2014,
160000,000511,ACHILLEA OERTEL'S ROSE,PRN,"2,015","1,837",0,0,"1,837",$4.75 ,,6/1/2014,
160000,058251,ACHILLEA STRWBRY SDCTN P18401,PRN,738,188,0,0,188,$4.75 ,,6/1/2014,
160000,001391,ACTINIDIA ARG ISSAI (FEMALE),VIN,"2,024",70,0,0,70,$11.00 ,,,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,147,46,5,0,51,$28.50 ,,5/1/2014,
170000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,41,1,0,0,1,$28.50 ,,4/1/2014,
170000,001415,ACTINIDIA CH VINCENT (FEMALE),VIN,631,5,0,0,5,$28.50 ,,,
160000,001491,ACTINIDIA KOLOMIKTA,VIN,773,673,0,0,673,$11.00 ,,,
170000,001491,ACTINIDIA KOLOMIKTA,VIN,46,9,0,0,9,$11.00 ,,4/1/2014,
160000,001495,ACTINIDIA KOLOMIKTA,VIN,261,5,3,0,8,$28.50 ,,,
170000,079092,AEONIUM CANARIENSE,CAC,610,544,0,0,544,$16.25 ,,,
160000,001565,AESCULUS PARVIFLORA,TRE,15,15,0,0,15,$31.00 ,,5/1/2014,
160000,028895,AESCULUS X ARN AUTUMN SPLENDOR,TRE,576,576,10,0,576,$31.00 ,,5/15/2014,
160000,000575,AESCULUS X CARNEA FORT MCNAIR,TRE,160,49,0,5,49,$31.00 ,,5/15/2014,
170000,001651,AGAPANTHUS AFRICANUS,EVS,"5,295","1,007",97,40,"1,064",$5.00 ,,,
550000,001655,AGAPANTHUS AFRICANUS,EVS,34,0,38,0,34,$16.50 ,,5/1/2014,
170000,001701,AGAPANTHUS ALBUS,EVS,"1,409",0,12,12,0,$5.00 ,,,
550000,001701,AGAPANTHUS ALBUS,EVS,228,228,0,0,228,$5.00 ,,4/15/2014,
170000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,"16,619","3,602",250,115,"3,737",$7.00 ,,,
550000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,"2,815","2,795",29,12,"2,795",$7.00 ,,4/1/2014,
