Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2014,400343,ABELIA SUNSHNE DAYDRM PP20961,,284,81,0,0,81,$8.50 ,,5/1/2014
2015,049625,ABIES CONCOLOR BLUE CLOAK,,39,4,0,0,4,$18.50 ,,
2014,047365,ABIES PIN GLAUCA PROSTRATA,,660,42,0,0,42,$8.50 ,,
    ,098612ST,ABUTILON TIGER EYE,,,,,,,,,
2015,001075,ACER PAL ATROLINEARE,,,,,,,,,
2015,00107M,ACER PAL ATROLINEARE,,,,,,,,,
2014,031825,ACER PAL SHIN DESHOJO,,,,,,,,,
2014,03182M,ACER PAL SHIN DESHOJO,,,,,,,,,
2014,049585,ACER PSEUDO ESKIMO SUNSET,,,,,,,,,
2015,096081,ACTINIDIA ARG HARDY MALE,,,,,,,,,
2015,096085,ACTINIDIA ARG HARDY MALE,,,,,,,,,
2015,412102,AGAPANTHUS PRAE QUEEN MUM PPAF,,,,,,,,,
2014,070381,AGAPANTHUS RANCHO WHITE,,,,,,,,,
2014,018561,AGASTACHE AUR-HYB TANGO,,,,,,,,,
    ,400521,AGASTACHE HYB BLUE BOA PP24050,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
    ,025222,AGAVE PARRYI VAR TRUNCATA,,,,,,,,,
2015,412802,ALOCASIA EBONY PPAF,,,,,,,,,
2014,087422,ALOCASIA IVORY COAST PPAF,,,,,,,,,
2014,087462,ALOCASIA MOROCCO PPAF,,,,,,,,,
2014,087452,ALOCASIA NAIROBI NIGHTS PPAF,,,,,,,,,
2014,087432,ALOCASIA SERENGETI PPAF,,,,,,,,,
2014,096532,ALST INTICANCHA R BRYCE,,,,,,,,,
2014,096522,ALST INTICANCHA R NAVAYO,,,,,,,,,
2014,096492,ALST INTICANCHA R SUNLIGHT,,,,,,,,,
2014,096512,ALST INTICANCHA R WHT BLSH PNK,,,,,,,,,
2014,066382,ALST ROCK & ROLL R PP21001,,,,,,,,,
2014,06696UT,ANACYCLUS PYR DEP SILBERKISSEN,,,,,,,,,
    ,407602,ARALIA CORDATA SUN KING,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
    ,413391,ASTILBE LTTLE VISN PRPLPP21855,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400821,ASTILBE YOUNIQUE SLP TM P20656,,,,,,,,,
    ,400821,ASTILBE YOUNIQUE SLP TM P20656,,,,,,,,,
    ,400863,AZALEA EX ARNESON RUBY,,,,,,,,,
    ,400873,AZALEA NL CANDY LIGHTS PPAF,,,,,,,,,
    ,400883,AZALEA NL LEMON LIGHTS,,,,,,,,,
    ,400903,AZALEA NL TRI-LIGHTS TM PPAF,,,,,,,,,
    ,402541S,BAM-FARGESIA DENUDATA,,,,,,,,,
    ,057112,BAM-FARGESIA N JIUZHAIGOU(CLP),,,,,,,,,
    ,402563,BAM-FARGESIA NITIDA GREAT WALL,,,,,,,,,
    ,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
    ,025215,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
    ,402571S,BAM-FARGESIA RUFA GREEN PANDA,,,,,,,,,
    ,402581S,BAM-FARGESIA SCABRIDA,,,,,,,,,
    ,402583,BAM-FARGESIA SCABRIDA,,,,,,,,,
2015,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,,,,,,,,,
2015,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
2014,080771S,BER SUNJOY R MINI SALSA PPAF,,,,,,,,,
2014,080772S,BER SUNJOY R MINI SALSA PPAF,,,,,,,,,
    ,013191,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
    ,013195,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
2014,095742BH,BOUG SUNVILLEA TM CREAM P22112,,,,,,,,,
2015,095732BH,BOUG SUNVILLEA TM ROSE PP23272,,,,,,,,,
2015,089382,BREYNIA DISTICHA ROSEOPICTA,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
    ,401291S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,401295,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
    ,407621S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
    ,407625,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
2014,094071,BUXUS MIC MORRIS MIDGET,,,,,,,,,
2014,054132,BUXUS SEMP UNRAVELED,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080831S,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
    ,401432ST,CAMP SMR JAZ TM FIRE PP23917,,,,,,,,,
    ,401435,CAMP SMR JAZ TM FIRE PP23917,,,,,,,,,
    ,401435PT,CAMP SMR JAZ TM FIRE PP23917,,,,,,,,,
    ,401422ST,CAMP SMR JAZ TM SR GOLD P23918,,,,,,,,,
    ,401425,CAMP SMR JAZ TM SR GOLD P23918,,,,,,,,,
    ,401425PT,CAMP SMR JAZ TM SR GOLD P23918,,,,,,,,,
New ,408391,CAMPANULA CAR RAPIDO BLUE,,,,,,,,,
New ,408401,CAMPANULA CAR RAPIDO WHITE,,,,,,,,,
2015,408421,CAMPANULA GLOM GENTI BLUE PPAF,,,,,,,,,
