Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
160000,001215,ACER PAL SHAINA,TRE,448,0,15,0,15,$54.00 ,,,
550000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,"2,505","2,505",58,130,"2,505",$7.00 ,,4/1/2014,
160000,035231,BER T GOLDEN RUBY R PP16203,DCS,"6,554",0,450,250,200,$8.00 ,,,
550000,013051,BOUG PURPLE QUEEN R,VIN,"1,270",380,100,20,460,$7.50 ,,3/20/2014,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,"7,507",0,132,226,0,$9.75 ,,,
170000,077411S,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,"1,838",75,0,150,75,$9.75 ,,4/15/2014,
170000,077391S,BUDDLEJA MISS MOLLY PPAF,DCS,"1,816",0,29,10,19,$9.00 ,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,"27,832","13,801",499,457,"13,843",$7.50 ,,,
160000,092891,CARY CLA KORBALL BLU BALLOON R,DCS,546,115,0,0,115,$6.50 ,,,
160000,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,102,0,150,231,0,$17.50 ,,5/1/2014,
160000,027211,CLEM VIT ETOILE VIOLETTE,VIN,24,0,256,250,4,$8.50 ,,5/1/2014,
160000,034432,CLEM X KILIAN DONAHUE,VIN,993,0,136,136,0,$17.00 ,,,
170000,063881,GR-PAN VIR SHENANDOAH,GRS,"5,630",174,899,620,453,$6.25 ,,,
160000,092752,HYD M ENCHANTRESS R PPAF,DCS,"2,850",704,0,10,704,$16.25 ,,,
160000,021091,ILEX X SCALLYWAG TM PP21941,EVS,"1,890",0,140,0,140,$7.50 ,,,
170000,048131,JUN C SEA OF GOLD R PP17622,CON,"5,959",0,"1,016",999,17,$6.00 ,,,
160000,049902,JUN H ICEE BLUE R P9639,CON,589,0,100,0,100,$12.50 ,,5/15/2014,
550000,024461,LANTANA TEENIE GENIE R PP17612,PRN,"1,728",945,300,212,"1,033",$5.50 ,,4/1/2014,
550000,080951s,HYD PAN BOBO,,,,,,,,,,
160000,058991,LONICERA X GOLDFLAME,VIN,"1,006",0,100,0,100,$7.75 ,,,
170000,045012,MAN SUN PAR R CRIMSON PP15539,VIN,"1,514",0,130,36,94,$17.00 ,,,
160000,034651,PHYSOCARPUS CENTER GLOW P16894,DCS,"1,313",0,375,300,75,$6.50 ,,,
160000,049605,PINUS STROBUS TINY KURLS,CON,281,0,16,33,0,$39.00 ,,,
160000,047085,PAEONIA ITIH KEIKO,,,,,,,,,,
160000,019372,PICEA GLAUCA CONICA TINY TOWER,,,,,,,,,,
170000,036312,ROSA FLWR CAR R SCARLET P17373,ROS,"11,987",0,298,119,179,$14.75 ,,,
160000,079382,RUBUS RSPBRY SHRTCKE TM P22141,DCS,"3,224",0,50,0,50,$15.50 ,,,
160000,058141,RIBES PIXWELL,,,,,,,,,,
160000,071571,SPIRAEA JAP MAGIC CARPET P9363,DCS,"6,635",0,528,"2,979",0,$5.75 ,,,
170000,070051ST,TRACH JASMINOIDES,VIN,"26,511","2,541",699,"1,187","2,541",$6.75 ,,,
550000,047912,STROMANTHE TRIOSTAR,,,,,,,,,,
160000,076391,WEIGELA FL DARK HORSE PP14381,DCS,"11,493","4,383","3,000","2,100","5,283",$7.00 ,,,
160000,076541,WEIGELA FL PINK POPPET,DCS,"6,041","1,888","2,000","1,500","2,388",$7.00 ,,,
160000,017571,WEIGELA MAGICAL R FNTSY P13567,DCS,"2,150",428,300,250,478,$7.00 ,,,
160000,080941S,WEIGELA SONIC BLOOM TM PNK PAF,DCS,"2,130",0,100,0,100,$9.50 ,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,
