branch,Item#,Item Description,Size,Key Code,Status,Product,Sub Category,Zone,Invoice$,Avg Dsc,Quantity,OR,VI,VH,GA,NC,CT,GR
170000,079382,RUBUS RSPBRY SHRTCKE TM P22141,#2,A,NEW,Deciduous Shrubs,Edible berries/fruit,5,"446,999.22 ",17.49 ,"35,486",0,"35,486",0,0,0,0,0
170000,056232,VACC BOUNTIFUL BLUE R PP19381,#2,A,NEW,Deciduous Shrubs,Edible berries/fruit,6,"362,004.23 ",38.79 ,"40,625",0,"40,625",0,0,0,0,0
170000,071602,ROSA FLWR CAR R RED P11308,#2,B,,Roses,Rosa,4,"332,236.92 ",20.28 ,"29,635",0,"29,635",0,0,0,0,0
170000,070212L,ROSA FLWR CAR R WHITE P9573,#2 LANDSCAPE ONLY,B,,Roses,Rosa,5,"280,622.21 ",27.15 ,"29,509",0,"29,509",0,0,0,0,0
170000,047305SP,JUN C SPARTAN,#5 SPIRAL,C,,Conifers,Cupressus & Juniper upright,5,"280,265.97 ",19.10 ,"5,744",0,"5,744",0,0,0,0,0
180000,022325,CAM S YULETIDE,#5,B,,Camellias,Camellia,7,"255,783.04 ",18.28 ,"11,784",0,0,"11,784",0,0,0,0
170000,071602L,ROSA FLWR CAR R RED P11308,#2 LANDSCAPE ONLY,B,,Roses,Rosa,4,"255,567.25 ",25.25 ,"26,134",0,"26,134",0,0,0,0,0
170000,064271,GR-PENN SET RUBRUM,#1,C,,Grasses,Large grass,8,"247,337.51 ",23.63 ,"56,405",0,"56,405",0,0,0,0,0
170000,036312,ROSA FLWR CAR R SCARLET P17373,#2,B,NEW,Roses,Rosa,5,"237,544.15 ",20.66 ,"21,302",0,"21,302",0,0,0,0,0
170000,070212,ROSA FLWR CAR R WHITE P9573,#2,B,,Roses,Rosa,5,"225,443.03 ",20.07 ,"20,078",0,"20,078",0,0,0,0,0
170000,013835,BUXUS MIC WINTER GEM,#5,C,,Evergreen Shrubs,Evergreen small shrub/hedge,5,"189,463.10 ",23.86 ,"12,442",0,"12,442",0,0,0,0,0
170000,013832,BUXUS MIC WINTER GEM,#2,C,,Evergreen Shrubs,Evergreen small shrub/hedge,5,"185,702.01 ",24.80 ,"18,283",0,"18,283",0,0,0,0,0
170000,026005,CITRUS IMPROVED MEYER LEMON,#5,B,,Citrus,Edible berries/fruit,9,"182,014.47 ",18.61 ,"9,694",0,"9,694",0,0,0,0,0
170000,058205Y4,LIGUSTRUM TEXANUM,#5 4'PYRAMID,C,,Evergreen Shrubs,Evergreen large shrub/hedge,7,"181,949.01 ",19.15 ,"6,905",0,"6,905",0,0,0,0,0
170000,026001,CITRUS IMPROVED MEYER LEMON,#1,B,,Citrus,Edible berries/fruit,9,"181,436.33 ",17.90 ,"25,873",0,"25,873",0,0,0,0,0
170000,035205,EUO J SILVER KING,#5,C,,Evergreen Shrubs,Euonymus,6,"177,319.92 ",18.89 ,"12,492",0,"12,492",0,0,0,0,0
170000,036292,ROSA FLWR CAR R AMBER PPAF,#2,B,NEW,Roses,Rosa,4,"171,116.14 ",19.39 ,"15,120",0,"15,120",0,0,0,0,0
170000,013825PY,BUXUS GREEN MOUNTAIN,#5 CONE,C,,Evergreen Shrubs,Evergreen small shrub/hedge,4,"161,513.66 ",17.70 ,"5,366",0,"5,366",0,0,0,0,0
