,,Confirmed Balance,, 2/24/15 14:37:30       ,,,,,,,,,,,,,,,,,,,,,
,,  133398 Ship to Only                   ,,,,                          ,,,,,,,,,,,,,,,,,,,
,,"CLARK FARMS, INC.                       ",,,,                          ,,,,,,,,,,,,,,,,,,,
,,~/MNGC #1336                  ,,,,                          ,,,,,,,,,,,,,,,,,,,
,,2984 COMMODORE OLIVER HAZARD P,,,,                          ,,,,,,,,,,,,,,,,,,,
                    ,,"WAKEFIELD,RI02879                       ",,,,,,,,,,,,,,,,,,,,,,,
                         ,,Tel:401-783-1331  Fax:401-785-5147      ,,,,,,,,,,,,,,,,,,,,,,,
Loc,Item Number,Size,Plant Name,Order Quantity,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,SKU,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Open Stock,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,,
GA,001732,#2,AGAPANTHUS BLUE STORM PP14332, ,Blue Storm™  Lily Of The Nile                                                                       ,EVS,08,2003, 14.50 ,, 12.33 , 1.75 , 14.08 ,     ,     , 5 , 50 , 616.50 ,     ,     ,     ,     ,04/15/15    ,,
GA,003151,#1,ASPARAGUS MYERS, ,Foxtail Fern                                                                                        ,FRN,09,    , 7.75 ,, 6.59 , 0.70 , 7.29 ,     ,     , 10 , 100 , 659.00 ," 3,433 ",     ,     ,     ,Now         ,,
GA,013051,#1 STAKED,BOUG PURPLE QUEEN R, ,Purple Queen®  Bougainvillea                                                                        ,VIN,10,1989, 7.75 ,, 6.59 , 0.70 , 7.29 ,     ,     , 10 , 50 , 329.50 , 581 ,     ,     ,     ,Now         ,,
GA,013835CN,#5 CONE,BUXUS MIC WINTER GEM, ,Winter Gem Boxwood                                                                                  ,EVS,05,    , 41.50 ,, 35.28 , 3.49 , 38.77 ,     ,     ,     , 50 ," 1,764.00 ",     ,     ,     ,     ,05/15/15    ,,
GA,029212,#2,CANNA TROP BLACK TM PP21350, ,Tropicanna®  Black Canna                                                                            ,PRN,07,2007, 19.50 ,, 16.58 , 1.75 , 18.33 ,     ,     , 5 , 50 , 829.00 ,     ,     ,     ,     ,04/15/15    ,,
GA,408495,#5,COLOCASIA RYL HWN R HAWAN PNCH, ,Royal Hawaiian®  Hawaiian Punch Elephant Ear                                                        ,PRN,07,2015, 21.50 ,, 18.28 , 3.49 , 21.77 ,     ,     , 5 , 30 , 548.40 ,     ,     ,     ,     ,04/15/15    ,,
GA,030509,#15,CUP LEYLANDII, ,Leyland Cypress                                                                                     ,CON,05,    , 79.00 ,, 67.15 , 20.26 , 87.41 ,     ,     , 1 , 50 ," 3,357.50 ", 348 ,     ,     ,     ,Now         ,,
GA,030491SPT,SuperOne TM PATIO TREE,CUPHEA HYSSOPIFOLIA, ,Mexican Heather                                                                                     ,PRN,08,    , 16.00 ,, 13.60 , 1.75 , 15.35 ,     ,     , 5 , 50 , 680.00 , 116 ,     ,     ,     ,Now         ,,
GA,061663,#3,GR-MIS SIN MORNING LIGHT, ,Morning Light Maiden Grass                                                                          ,GRS,05,2003, 15.50 ,, 13.18 , 2.79 , 15.97 ,     ,     , 5 , 50 , 659.00 , 284 ,     ,     ,     ,Now         ,,
